"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
17076165,"2015-04-13 23:25:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","300 N AMALIA AVE, LOS ANGELES, CA 90063","300 N AMALIA AVE","LOS ANGELES","90063",6515196.9583321093,1833235.8434469108,"015-04996-0276","0276","04996","CA0190002","EAST LOS ANGELES","N"
17075135,"2015-04-12 22:22:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1000 S KERN AVE, LOS ANGELES, CA 90022","1000 S KERN AVE","LOS ANGELES","90022",6511163.4829915622,1829621.7294142663,"015-04942-0284","0284","04942","CA0190002","EAST LOS ANGELES","N"
17063528,"2015-03-31 21:36:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1800 E PALMDALE BLVD, PALMDALE, CA","1800 E PALMDALE BLVD","PALMDALE",,6532943.120602007,2033133.4358019757,"015-04529-2610","2610","04529","CA01900W9","PALMDALE","N"
17062808,"2015-03-31 09:38:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","HARDWICK ST & WOODRUFF AVE, LAKEWOOD, CA","HARDWICK ST & WOODRUFF AVE","LAKEWOOD",,6526163.9761470892,1768088.4247337766,"015-06333-1326","1326","06333","CA0190013","LAKEWOOD","N"
17062752,"2015-03-31 08:30:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","10100 S BUDLONG AVE, LOS ANGELES, CA 90044","10100 S BUDLONG AVE","LOS ANGELES","90044",6471852.7511331253,1802442.370229498,"015-02813-0372","0372","02813","CA0190003","SOUTH LOS ANGELES","N"
17061056,"2015-03-29 01:19:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","44400 FENHOLD ST, LANCASTER, CA 93535","44400 FENHOLD ST","LANCASTER","93535",6530396.5911105108,2073500.122041675,"015-05449-1135","1135","05449","CA0190024","LANCASTER","N"
17061011,"2015-03-28 23:20:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","11200 BROADMEAD ST, SOUTH EL MONTE, CA 91733","11200 BROADMEAD ST","SOUTH EL MONTE","91733",6551441.9922577022,1838054.7609330041,"015-03845-0562","0562","03845","CA0190005","TEMPLE","N"
17060117,"2015-03-27 20:39:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1300 E AVENUE I, LANCASTER, CA 93535","1300 E AVENUE I","LANCASTER","93535",6529819.2793083154,2080228.8206702077,"015-05394-1131","1131","05394","CA0190024","LANCASTER","N"
17056783,"2015-03-25 01:16:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1200 N DIAMOND BAR BLVD, DIAMOND BAR, CA 91765","1200 N DIAMOND BAR BLVD","DIAMOND BAR","91765",6622269.8179114992,1837157.1483329711,"015-02133-2920","2920","02133","CA0190020","WALNUT","N"
17056778,"2015-03-25 01:14:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1000 106TH ST, LOS ANGELES, CA 90044","1000 106TH ST","LOS ANGELES","90044",6472818.020957483,1800781.8159056462,"015-02640-0372","0372","02640","CA0190003","SOUTH LOS ANGELES","N"
17055282,"2015-03-23 14:18:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","10300 INGLEWOOD AVE, LENNOX, CA 90304","10300 INGLEWOOD AVE","LENNOX","90304",6452015.9044153541,1801465.563446553,"015-02580-0380","0380","02580","CA0190003","SOUTH LOS ANGELES","N"
17050893,"2015-03-18 17:01:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","100 W JOHNSON ST, COMPTON, CA 90220","100 W JOHNSON ST","COMPTON","90220",6493764.4518394517,1780091.7495193924,"015-03457-2836","2836","03457","CA0190042","COMPTON","N"
17061708,"2015-03-30 01:35:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","14800 DOWNEY AVE, PARAMOUNT, CA 90723","14800 DOWNEY AVE","PARAMOUNT","90723",6515525.3679206632,1785535.5428439248,"015-06255-1365","1365","06255","CA0190013","LAKEWOOD","N"
17072800,"2015-04-10 02:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","8400 MELROSE AVE, WEST HOLLYWOOD, CA","8400 MELROSE AVE","WEST HOLLYWOOD",,6447949.0418499717,1852612.7056198146,"015-01802-0972","0972","01802","CA0190009","WEST HOLLYWOOD","N"
17071204,"2015-04-08 03:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","2900 SPRUCE CT, ARCADIA, CA 91006","2900 SPRUCE CT","ARCADIA","91006",6559730.9204025771,1863238.1236367547,"015-04284-0584","0584","04284","CA0190005","TEMPLE","N"
17068943,"2015-04-05 17:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","100 E COMPTON BLVD, COMPTON, CA 90220","100 E COMPTON BLVD","COMPTON","90220",6494220.7780557899,1784063.6468242875,"015-04315-2814","2814","04315","CA0190042","COMPTON","N"
17070092,"2015-04-05 06:30:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","700 S LEONARD AVE, LOS ANGELES, CA 90022","700 S LEONARD AVE","LOS ANGELES","90022",6518352.4549418334,1829256.397588101,"015-04701-0287","0287","04701","CA0190002","EAST LOS ANGELES","N"
17067887,"2015-04-05 05:00:00","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","3500 FLORESTA AVE, LOS ANGELES, CA 90043","3500 FLORESTA AVE","LOS ANGELES","90043",6460063.4398436174,1821298.3865935174,"015-00905-2768","2768","00905","CA0190065","MARINA DEL REY","N"
